"id","title","city","neighbourhood","intent","price","bedrooms","bathrooms","size_sqm","property_type","distance_from_city_km","description"
18,"Renovated One Bedroom Apartment in Islington","London","Islington","rent",2088,1,1,73,"apartment",26.70,"Located in Islington, London, this well-presented apartment offers 1 bedroom(s) and approximately 73 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
19,"Modern Family Residence in Greenwich","London","Greenwich","buy",690250,4,2,148,"house",1.30,"Situated in Greenwich, London, this attractive house offers 4 bedrooms and approximately 148 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
20,"Four Bedroom House in Croydon","London","Croydon","buy",667750,4,4,124,"house",4.30,"Situated in Croydon, London, this attractive house offers 4 bedrooms and approximately 124 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
21,"Spacious Four Bedroom Residence in Wembley","London","Wembley","buy",641500,4,3,183,"house",7.80,"Situated in Wembley, London, this attractive house offers 4 bedrooms and approximately 183 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
22,"Modern Three Bedroom Residence in Greenwich","London","Greenwich","buy",498250,3,2,137,"house",26.90,"Situated in Greenwich, London, this attractive house offers 3 bedrooms and approximately 137 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
23,"Detached Four Bedroom House in Islington","London","Islington","buy",451750,4,2,197,"house",33.10,"Situated in Islington, London, this attractive house offers 4 bedrooms and approximately 197 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
24,"Spacious Five Bedroom House in Islington","London","Islington","buy",563500,5,4,248,"house",18.20,"Situated in Islington, London, this attractive house offers 5 bedrooms and approximately 248 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
25,"Three Bedroom House in Camden","London","Camden","buy",683500,3,2,233,"house",2.20,"Situated in Camden, London, this attractive house offers 3 bedrooms and approximately 233 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
26,"Spacious Four Bedroom Residence in Canary Wharf","London","Canary Wharf","buy",655750,4,4,151,"house",5.90,"Situated in Canary Wharf, London, this attractive house offers 4 bedrooms and approximately 151 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
27,"Family Home in Wembley","London","Wembley","buy",412000,4,3,235,"house",38.40,"Situated in Wembley, London, this attractive house offers 4 bedrooms and approximately 235 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
28,"Detached Four Bedroom House in Islington","London","Islington","buy",464500,4,3,246,"house",31.40,"Situated in Islington, London, this attractive house offers 4 bedrooms and approximately 246 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
29,"Modern Family Residence in Camden","London","Camden","buy",591250,4,3,214,"house",14.50,"Situated in Camden, London, this attractive house offers 4 bedrooms and approximately 214 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
30,"Four Bedroom House in Richmond","London","Richmond","buy",632500,4,3,184,"house",9.00,"Situated in Richmond, London, this attractive house offers 4 bedrooms and approximately 184 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
31,"Bright One Bedroom Apartment in Wembley","London","Wembley","buy",315900,1,1,42,"apartment",29.80,"Located in Wembley, London, this well-presented apartment offers 1 bedroom(s) and approximately 42 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
32,"Contemporary Two Bedroom Apartment in Wembley","London","Wembley","buy",422100,2,1,69,"apartment",6.20,"Located in Wembley, London, this well-presented apartment offers 2 bedroom(s) and approximately 69 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
33,"Spacious Two Bedroom Apartment in Wembley","London","Wembley","buy",399150,2,1,89,"apartment",11.30,"Located in Wembley, London, this well-presented apartment offers 2 bedroom(s) and approximately 89 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
34,"Well Presented Two Bedroom Apartment in Wembley","London","Wembley","buy",389250,2,1,56,"apartment",13.50,"Located in Wembley, London, this well-presented apartment offers 2 bedroom(s) and approximately 56 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
35,"Modern Two Bedroom Apartment in Richmond","London","Richmond","buy",283950,2,1,68,"apartment",36.90,"Located in Richmond, London, this well-presented apartment offers 2 bedroom(s) and approximately 68 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
36,"Bright Two Bedroom Apartment in Camden","London","Camden","buy",2452000,2,1,172,"apartment",1.80,"Located in Camden, London, this well-presented apartment offers 2 bedroom(s) and approximately 172 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
37,"Modern Three Bedroom Residence in Camden","London","Camden","buy",2249333,3,2,252,"house",9.40,"Situated in Camden, London, this attractive house offers 3 bedrooms and approximately 252 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
38,"Spacious Three Bedroom Home in Wembley","London","Wembley","buy",2185333,3,2,160,"house",11.80,"Situated in Wembley, London, this attractive house offers 3 bedrooms and approximately 160 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
39,"Detached Three Bedroom House in Greenwich","London","Greenwich","buy",1993333,3,2,126,"house",19.00,"Situated in Greenwich, London, this attractive house offers 3 bedrooms and approximately 126 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
40,"Five Bedroom Detached House in Wembley","London","Wembley","buy",2390666,5,4,332,"house",4.10,"Situated in Wembley, London, this attractive house offers 5 bedrooms and approximately 332 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
41,"Bright Two Bedroom Apartment in Montmartre","Paris","Montmartre","rent",883,2,1,38,"apartment",31.70,"Located in Montmartre, Paris, this well-presented apartment offers 2 bedroom(s) and approximately 38 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
42,"Contemporary Two Bedroom Apartment in La Defense","Paris","La Defense","rent",1168,2,1,34,"apartment",3.20,"Located in La Defense, Paris, this well-presented apartment offers 2 bedroom(s) and approximately 34 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
43,"Renovated One Bedroom Apartment in Batignolles","Paris","Batignolles","rent",844,1,1,25,"apartment",35.60,"Located in Batignolles, Paris, this well-presented apartment offers 1 bedroom(s) and approximately 25 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
44,"Well Presented Two Bedroom Apartment in Batignolles","Paris","Batignolles","rent",1133,2,1,59,"apartment",6.70,"Located in Batignolles, Paris, this well-presented apartment offers 2 bedroom(s) and approximately 59 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
45,"Modern Two Bedroom Apartment in Montmartre","Paris","Montmartre","rent",1178,2,1,25,"apartment",2.20,"Located in Montmartre, Paris, this well-presented apartment offers 2 bedroom(s) and approximately 25 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
46,"Bright Two Bedroom Apartment in Montmartre","Paris","Montmartre","rent",1120,2,1,37,"apartment",8.00,"Located in Montmartre, Paris, this well-presented apartment offers 2 bedroom(s) and approximately 37 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
47,"Contemporary Two Bedroom Apartment in Saint Denis","Paris","Saint Denis","rent",1194,2,1,35,"apartment",0.60,"Located in Saint Denis, Paris, this well-presented apartment offers 2 bedroom(s) and approximately 35 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
48,"Renovated One Bedroom Apartment in Saint Denis","Paris","Saint Denis","rent",1192,1,1,52,"apartment",0.80,"Located in Saint Denis, Paris, this well-presented apartment offers 1 bedroom(s) and approximately 52 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
49,"Well Presented Two Bedroom Apartment in Batignolles","Paris","Batignolles","rent",2034,2,1,68,"apartment",28.70,"Located in Batignolles, Paris, this well-presented apartment offers 2 bedroom(s) and approximately 68 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
50,"Modern Two Bedroom Apartment in La Defense","Paris","La Defense","rent",2237,2,1,63,"apartment",21.10,"Located in La Defense, Paris, this well-presented apartment offers 2 bedroom(s) and approximately 63 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
51,"Bright One Bedroom Apartment in Saint Denis","Paris","Saint Denis","rent",2741,1,1,86,"apartment",2.20,"Located in Saint Denis, Paris, this well-presented apartment offers 1 bedroom(s) and approximately 86 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
52,"Contemporary One Bedroom Apartment in Batignolles","Paris","Batignolles","rent",2352,1,1,87,"apartment",16.80,"Located in Batignolles, Paris, this well-presented apartment offers 1 bedroom(s) and approximately 87 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
53,"Spacious Two Bedroom Apartment in Batignolles","Paris","Batignolles","rent",1760,2,1,88,"apartment",46.30,"Located in Batignolles, Paris, this well-presented apartment offers 2 bedroom(s) and approximately 88 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
54,"Stylish One Bedroom Apartment in Batignolles","Paris","Batignolles","rent",2680,1,1,88,"apartment",4.50,"Located in Batignolles, Paris, this well-presented apartment offers 1 bedroom(s) and approximately 88 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
55,"Modern One Bedroom Apartment in Versailles","Paris","Versailles","rent",1944,1,1,46,"apartment",32.10,"Located in Versailles, Paris, this well-presented apartment offers 1 bedroom(s) and approximately 46 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
56,"Bright One Bedroom Apartment in La Defense","Paris","La Defense","rent",2714,1,1,51,"apartment",3.20,"Located in La Defense, Paris, this well-presented apartment offers 1 bedroom(s) and approximately 51 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
57,"Contemporary Two Bedroom Apartment in Saint Denis","Paris","Saint Denis","rent",1760,2,1,63,"apartment",46.20,"Located in Saint Denis, Paris, this well-presented apartment offers 2 bedroom(s) and approximately 63 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
58,"Renovated One Bedroom Apartment in Belleville","Paris","Belleville","rent",2570,1,1,77,"apartment",8.60,"Located in Belleville, Paris, this well-presented apartment offers 1 bedroom(s) and approximately 77 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
59,"Detached Three Bedroom House in Montmartre","Paris","Montmartre","buy",586000,3,2,178,"house",15.20,"Situated in Montmartre, Paris, this attractive house offers 3 bedrooms and approximately 178 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
60,"Three Bedroom House in Batignolles","Paris","Batignolles","buy",654250,3,2,214,"house",6.10,"Situated in Batignolles, Paris, this attractive house offers 3 bedrooms and approximately 214 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
61,"Spacious Four Bedroom Residence in Montmartre","Paris","Montmartre","buy",638500,4,3,245,"house",8.20,"Situated in Montmartre, Paris, this attractive house offers 4 bedrooms and approximately 245 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
62,"Family Home in Versailles","Paris","Versailles","buy",581500,4,3,117,"house",15.80,"Situated in Versailles, Paris, this attractive house offers 4 bedrooms and approximately 117 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
63,"Luxury Detached Residence in La Defense","Paris","La Defense","buy",567250,5,4,247,"house",17.70,"Situated in La Defense, Paris, this attractive house offers 5 bedrooms and approximately 247 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
64,"Modern Family Residence in Saint Denis","Paris","Saint Denis","buy",640000,4,2,248,"house",8.00,"Situated in Saint Denis, Paris, this attractive house offers 4 bedrooms and approximately 248 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
65,"Five Bedroom Detached House in Montmartre","Paris","Montmartre","buy",660250,5,4,128,"house",5.30,"Situated in Montmartre, Paris, this attractive house offers 5 bedrooms and approximately 128 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
66,"Executive Family Residence in La Defense","Paris","La Defense","buy",614500,5,4,181,"house",11.40,"Situated in La Defense, Paris, this attractive house offers 5 bedrooms and approximately 181 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
67,"Family Home in Saint Denis","Paris","Saint Denis","buy",593500,4,3,205,"house",14.20,"Situated in Saint Denis, Paris, this attractive house offers 4 bedrooms and approximately 205 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
68,"Detached Four Bedroom House in Saint Denis","Paris","Saint Denis","buy",478750,4,3,130,"house",29.50,"Situated in Saint Denis, Paris, this attractive house offers 4 bedrooms and approximately 130 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
69,"Modern Family Residence in Belleville","Paris","Belleville","buy",517750,4,3,241,"house",24.30,"Situated in Belleville, Paris, this attractive house offers 4 bedrooms and approximately 241 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
70,"Three Bedroom House in La Defense","Paris","La Defense","buy",427750,3,2,122,"house",36.30,"Situated in La Defense, Paris, this attractive house offers 3 bedrooms and approximately 122 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
71,"Bright Two Bedroom Apartment in La Defense","Paris","La Defense","buy",422550,2,1,56,"apartment",6.10,"Located in La Defense, Paris, this well-presented apartment offers 2 bedroom(s) and approximately 56 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
72,"Contemporary One Bedroom Apartment in Batignolles","Paris","Batignolles","buy",422100,1,1,85,"apartment",6.20,"Located in Batignolles, Paris, this well-presented apartment offers 1 bedroom(s) and approximately 85 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
73,"Spacious Two Bedroom Apartment in Batignolles","Paris","Batignolles","buy",441900,2,1,60,"apartment",1.80,"Located in Batignolles, Paris, this well-presented apartment offers 2 bedroom(s) and approximately 60 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
74,"Well Presented Two Bedroom Apartment in Saint Denis","Paris","Saint Denis","buy",386100,2,1,41,"apartment",14.20,"Located in Saint Denis, Paris, this well-presented apartment offers 2 bedroom(s) and approximately 41 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
75,"Modern One Bedroom Apartment in Batignolles","Paris","Batignolles","buy",370350,1,1,55,"apartment",17.70,"Located in Batignolles, Paris, this well-presented apartment offers 1 bedroom(s) and approximately 55 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
76,"Family House in Belleville","Paris","Belleville","buy",2470666,3,2,263,"house",1.10,"Situated in Belleville, Paris, this attractive house offers 3 bedrooms and approximately 263 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
77,"Premium Five Bedroom Home in Saint Denis","Paris","Saint Denis","buy",2108000,5,4,242,"house",14.70,"Situated in Saint Denis, Paris, this attractive house offers 5 bedrooms and approximately 242 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
78,"Spacious Two Bedroom Apartment in La Defense","Paris","La Defense","buy",2305333,2,1,249,"apartment",7.30,"Located in La Defense, Paris, this well-presented apartment offers 2 bedroom(s) and approximately 249 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
79,"Well Presented Two Bedroom Apartment in Montmartre","Paris","Montmartre","buy",2393333,2,1,173,"apartment",4.00,"Located in Montmartre, Paris, this well-presented apartment offers 2 bedroom(s) and approximately 173 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
80,"Five Bedroom Detached House in Versailles","Paris","Versailles","buy",2156000,5,4,283,"house",12.90,"Situated in Versailles, Paris, this attractive house offers 5 bedrooms and approximately 283 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
81,"Bright Two Bedroom Apartment in Neukolln","Berlin","Neukolln","rent",1157,2,1,27,"apartment",4.30,"Located in Neukolln, Berlin, this well-presented apartment offers 2 bedroom(s) and approximately 27 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
82,"Contemporary One Bedroom Apartment in Neukolln","Berlin","Neukolln","rent",1043,1,1,44,"apartment",15.70,"Located in Neukolln, Berlin, this well-presented apartment offers 1 bedroom(s) and approximately 44 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
83,"Renovated One Bedroom Apartment in Mitte","Berlin","Mitte","rent",1186,1,1,45,"apartment",1.40,"Located in Mitte, Berlin, this well-presented apartment offers 1 bedroom(s) and approximately 45 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
84,"Stylish One Bedroom Apartment in Prenzlauer Berg","Berlin","Prenzlauer Berg","rent",1146,1,1,59,"apartment",5.40,"Located in Prenzlauer Berg, Berlin, this well-presented apartment offers 1 bedroom(s) and approximately 59 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
85,"Modern One Bedroom Apartment in Prenzlauer Berg","Berlin","Prenzlauer Berg","rent",924,1,1,39,"apartment",27.60,"Located in Prenzlauer Berg, Berlin, this well-presented apartment offers 1 bedroom(s) and approximately 39 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
86,"Bright Two Bedroom Apartment in Mitte","Berlin","Mitte","rent",1119,2,1,27,"apartment",8.10,"Located in Mitte, Berlin, this well-presented apartment offers 2 bedroom(s) and approximately 27 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
87,"Contemporary One Bedroom Apartment in Kreuzberg","Berlin","Kreuzberg","rent",1164,1,1,47,"apartment",3.60,"Located in Kreuzberg, Berlin, this well-presented apartment offers 1 bedroom(s) and approximately 47 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
88,"Spacious Two Bedroom Apartment in Kreuzberg","Berlin","Kreuzberg","rent",1130,2,1,57,"apartment",7.00,"Located in Kreuzberg, Berlin, this well-presented apartment offers 2 bedroom(s) and approximately 57 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
89,"Well Presented Two Bedroom Apartment in Charlottenburg","Berlin","Charlottenburg","rent",2560,2,1,63,"apartment",9.00,"Located in Charlottenburg, Berlin, this well-presented apartment offers 2 bedroom(s) and approximately 63 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
90,"Modern Two Bedroom Apartment in Potsdam","Berlin","Potsdam","rent",1760,2,1,48,"apartment",46.70,"Located in Potsdam, Berlin, this well-presented apartment offers 2 bedroom(s) and approximately 48 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
91,"Bright One Bedroom Apartment in Neukolln","Berlin","Neukolln","rent",2730,1,1,70,"apartment",2.60,"Located in Neukolln, Berlin, this well-presented apartment offers 1 bedroom(s) and approximately 70 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
92,"Contemporary Two Bedroom Apartment in Charlottenburg","Berlin","Charlottenburg","rent",2061,2,1,75,"apartment",27.70,"Located in Charlottenburg, Berlin, this well-presented apartment offers 2 bedroom(s) and approximately 75 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
93,"Renovated One Bedroom Apartment in Neukolln","Berlin","Neukolln","rent",2560,1,1,86,"apartment",9.00,"Located in Neukolln, Berlin, this well-presented apartment offers 1 bedroom(s) and approximately 86 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
94,"Well Presented Two Bedroom Apartment in Potsdam","Berlin","Potsdam","rent",2373,2,1,49,"apartment",16.00,"Located in Potsdam, Berlin, this well-presented apartment offers 2 bedroom(s) and approximately 49 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
95,"Modern One Bedroom Apartment in Mitte","Berlin","Mitte","rent",2245,1,1,47,"apartment",20.80,"Located in Mitte, Berlin, this well-presented apartment offers 1 bedroom(s) and approximately 47 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
96,"Bright Two Bedroom Apartment in Prenzlauer Berg","Berlin","Prenzlauer Berg","rent",2392,2,1,67,"apartment",15.30,"Located in Prenzlauer Berg, Berlin, this well-presented apartment offers 2 bedroom(s) and approximately 67 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
97,"Contemporary One Bedroom Apartment in Kreuzberg","Berlin","Kreuzberg","rent",2466,1,1,54,"apartment",12.50,"Located in Kreuzberg, Berlin, this well-presented apartment offers 1 bedroom(s) and approximately 54 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
98,"Renovated One Bedroom Apartment in Potsdam","Berlin","Potsdam","rent",1914,1,1,71,"apartment",33.20,"Located in Potsdam, Berlin, this well-presented apartment offers 1 bedroom(s) and approximately 71 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
99,"Modern Family Residence in Neukolln","Berlin","Neukolln","buy",653500,4,2,165,"house",6.20,"Situated in Neukolln, Berlin, this attractive house offers 4 bedrooms and approximately 165 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
100,"Four Bedroom House in Kreuzberg","Berlin","Kreuzberg","buy",568000,4,3,167,"house",17.60,"Situated in Kreuzberg, Berlin, this attractive house offers 4 bedrooms and approximately 167 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
101,"Family House in Neukolln","Berlin","Neukolln","buy",644500,3,2,214,"house",7.40,"Situated in Neukolln, Berlin, this attractive house offers 3 bedrooms and approximately 214 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
102,"Modern Three Bedroom Residence in Kreuzberg","Berlin","Kreuzberg","buy",674500,3,2,180,"house",3.40,"Situated in Kreuzberg, Berlin, this attractive house offers 3 bedrooms and approximately 180 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
103,"Detached Four Bedroom House in Neukolln","Berlin","Neukolln","buy",467500,4,2,240,"house",31.00,"Situated in Neukolln, Berlin, this attractive house offers 4 bedrooms and approximately 240 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
104,"Detached Three Bedroom House in Kreuzberg","Berlin","Kreuzberg","buy",407500,3,2,241,"house",43.80,"Situated in Kreuzberg, Berlin, this attractive house offers 3 bedrooms and approximately 241 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
105,"Four Bedroom House in Charlottenburg","Berlin","Charlottenburg","buy",649000,4,3,175,"house",6.80,"Situated in Charlottenburg, Berlin, this attractive house offers 4 bedrooms and approximately 175 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
